id,key,value,type
4813044,oneway,yes,regular
4813044,highway,primary,regular
4813044,surface,asphalt,regular
4813044,maxspeed,30 mph,regular
4813059,bicycle,no,regular
4813059,highway,trunk_link,regular
4813059,lanes,2,regular
4813059,name,Eastern Avenue,regular
4813059,oneway,yes,regular
4813059,ref,A48,regular
4813059,surface,asphalt,regular
4813064,lit,yes,regular
4813064,ref,A48(M),regular
4813064,foot,no,regular
4813064,lanes,2,regular
4813064,oneway,yes,regular
4813064,highway,motorway,regular
4813064,surface,asphalt,regular
4813064,maxspeed,70 mph,regular
4813064,operator,Welsh Government,regular
4813089,bicycle,no,regular
4813089,highway,trunk_link,regular
4813089,lanes,2,regular
4813089,name,Eastern Avenue,regular
4813089,oneway,yes,regular
4813089,ref,A48,regular
4813209,oneway,yes,regular
4813209,highway,tertiary,regular
4813209,junction,roundabout,regular
4813209,direction,clockwise,regular
4813283,oneway,yes,regular
4813283,highway,trunk_link,regular
4813283,surface,asphalt,regular
4813290,oneway,yes,regular
4813290,highway,trunk_link,regular
4813290,surface,asphalt,regular
4813441,oneway,yes,regular
4813441,highway,trunk_link,regular
4813441,surface,asphalt,regular
4813443,oneway,yes,regular
4813443,highway,trunk_link,regular
4813443,surface,asphalt,regular
4816796,ref,A4119,regular
4816796,name,Clare Road,regular
4816796,highway,primary,regular
4816798,ref,A4119,regular
4816798,name,Clare Street,regular
4816798,highway,primary,regular
4816799,ref,A4119,regular
4816799,name,Lower Cathedral Road,regular
4816799,highway,primary,regular
4816803,layer,2,regular
4816803,sport,"rugby, soccer",regular
4816803,leisure,pitch,regular
4816807,name,Principality Stadium,regular
4816807,layer,1,regular
4816807,sport,rugby_union,regular
4816807,leisure,stadium,regular
4816807,cy,Stadiwm Principality,name
4816807,sport_1,football,regular
4816807,tourism,attraction,regular
4816807,old_name,Millennium Stadium,regular
4816807,wheelchair,yes,regular
4816807,cy,Stadiwm y Mileniwm,old_name
4816873,name,Cardiff Arms Park (Cardiff RFC),regular
4816873,sport,rugby_union,regular
4816873,leisure,pitch,regular
4816901,name,Vale of Glamorgan Line,regular
4816901,gauge,1435,regular
4816901,usage,branch,regular
4816901,railway,rail,regular
4816901,electrified,no,regular
4816901,passenger_lines,2,regular
4816902,name,Vale of Glamorgan Line,regular
4816902,gauge,1435,regular
4816902,usage,branch,regular
4816902,railway,rail,regular
4816902,electrified,no,regular
4816902,passenger_lines,2,regular
4816919,gauge,1435,regular
4816919,layer,-1,regular
4816919,usage,branch,regular
4816919,tunnel,yes,regular
4816919,railway,rail,regular
4816919,electrified,no,regular
4816919,passenger_lines,2,regular
4816938,ref,A4055,regular
4816938,lanes,2,regular
4816938,oneway,no,regular
4816938,highway,primary,regular
4816938,surface,asphalt,regular
4816938,maxspeed,60 mph,regular
4816938,maxspeed,GB:nsl_single,source
4816939,ref,A4055,regular
4816939,name,Barry Road,regular
4816939,lanes,3,regular
4816939,oneway,no,regular
4816939,highway,primary,regular
