id,user,uid,version,changeset,timestamp
4880509,m-a-p,822681,9,35952304,2015-12-14T20:05:09Z
4880511,Huw Waters,327578,15,9042973,2011-08-16T21:54:26Z
4880515,rowers2,2445224,4,49627777,2017-06-18T06:35:46Z
4880904,Jay456,439547,14,52121658,2017-09-17T16:39:02Z
4880905,m-a-p,822681,6,35945152,2015-12-14T13:37:35Z
4880907,gyros,666058,3,11662416,2012-05-21T14:33:59Z
4881387,Huw Waters,327578,9,9838964,2011-11-15T20:58:09Z
4881401,m-a-p,822681,7,28865050,2015-02-15T15:01:44Z
4881402,m-a-p,822681,9,35145906,2015-11-07T10:42:37Z
4881403,Jay456,439547,7,31517525,2015-05-27T22:05:58Z
4881404,m-a-p,822681,8,33493067,2015-08-21T20:24:03Z
4881686,Mauls,24119,18,49981072,2017-07-02T10:58:32Z
4881687,Yorvik Prestigitator,493595,27,45807868,2017-02-04T15:19:17Z
4881689,Huw Waters,327578,24,16522377,2013-06-12T12:17:48Z
4881690,Jay456,439547,11,34860077,2015-10-25T14:07:56Z
4881947,DaveF,115894,11,50530469,2017-07-24T14:31:38Z
4882534,Jay456,439547,12,51439864,2017-08-25T17:05:46Z
4882535,chriscf,8235,15,38305839,2016-04-05T00:55:43Z
4882537,JonBritton,48155,9,7362090,2011-02-22T10:36:42Z
4899446,Jay456,439547,17,52188134,2017-09-19T17:36:50Z
4899885,Hawkeye,50118,5,15803540,2013-04-20T20:51:37Z
4899888,Paul The Archivist,82783,6,7452767,2011-03-04T09:19:14Z
4899891,Hawkeye,50118,5,15803540,2013-04-20T20:51:37Z
4899896,bienjamu,2404968,7,47880558,2017-04-17T18:25:59Z
4899903,bienjamu,2404968,8,47929122,2017-04-19T08:02:23Z
4899905,Jay456,439547,6,35310695,2015-11-14T16:50:40Z
4899909,Huw Waters,327578,10,9581962,2011-10-17T13:35:49Z
4899915,Welshie,508,1,144826,2007-07-15T19:39:35Z
4919063,agilob,463237,12,47688498,2017-04-12T10:07:19Z
4919080,agilob,463237,6,47688498,2017-04-12T10:07:20Z
4919082,agilob,463237,7,47688498,2017-04-12T10:07:20Z
4919128,MDCore,1807167,5,48613390,2017-05-12T06:37:32Z
4919130,MDCore,1807167,7,48613390,2017-05-12T06:37:27Z
4919138,Jay456,439547,22,33691971,2015-08-30T21:41:37Z
4919158,MDCore,1807167,4,48613390,2017-05-12T06:36:43Z
4919161,-Anarchy-,2304265,4,36186012,2015-12-26T23:00:05Z
4962207,terrencem,82241,7,26845763,2014-11-17T15:38:47Z
4962282,Jay456,439547,13,33687852,2015-08-30T18:07:56Z
4962290,Huw Waters,327578,7,9986082,2011-11-29T10:36:52Z
4962308,wongataa,133272,6,41140060,2016-07-31T08:51:09Z
4968676,-Anarchy-,2304265,4,36115441,2015-12-22T22:39:09Z
4968723,-Anarchy-,2304265,24,30093886,2015-04-09T13:21:18Z
4968787,m-a-p,822681,11,19056204,2013-11-22T15:16:59Z
4968800,-Anarchy-,2304265,16,45175526,2017-01-14T22:54:43Z
4968803,m-a-p,822681,12,35268973,2015-11-12T19:29:37Z
4968816,Jay456,439547,20,34025267,2015-09-14T17:40:17Z
4968823,-Anarchy-,2304265,10,30144204,2015-04-11T14:55:23Z
4968831,neilwarnock,692703,13,37334436,2016-02-20T19:33:51Z
4968832,terrencem,82241,8,22692206,2014-06-02T12:15:15Z
4968835,MDCore,1807167,5,48576637,2017-05-10T23:22:46Z
4968836,MDCore,1807167,7,48576637,2017-05-10T23:23:08Z
4968848,hanch12a,5566198,16,50349206,2017-07-17T12:28:01Z
4969009,agilob,463237,11,47688498,2017-04-12T10:07:20Z
4969011,Jay456,439547,12,48098039,2017-04-24T17:37:45Z
4969035,Jay456,439547,15,39386493,2016-05-17T20:36:10Z
4969036,Jay456,439547,11,34284161,2015-09-27T14:16:39Z
4969039,Jay456,439547,7,34284161,2015-09-27T14:16:39Z
4969058,woodiwiss,6435413,13,50886335,2017-08-06T14:15:11Z
4969086,Huw Waters,327578,10,8772503,2011-07-19T23:09:29Z
4969089,andrewp303,3927882,8,39161566,2016-05-07T11:23:50Z
4969091,Jay456,439547,10,27699785,2014-12-25T23:56:32Z
4969101,andrewp303,3927882,8,39150328,2016-05-06T19:24:33Z
4969108,Guy,10983,2,16329278,2013-05-28T19:58:45Z
4970052,Jay456,439547,12,17707527,2013-09-06T18:20:00Z
4970055,flierfy,445671,14,43248924,2016-10-28T15:47:54Z
4970057,Jay456,439547,12,39454529,2016-05-20T16:16:09Z
4970064,samuelestabrook,633750,16,34237531,2015-09-25T03:09:43Z
4970067,Fluclo,427658,12,35225609,2015-11-10T20:21:01Z
4979601,Jay456,439547,44,31288117,2015-05-19T15:47:43Z
4979643,m-a-p,822681,8,35323343,2015-11-15T09:30:26Z
4983288,thomas_D,186231,5,2921759,2009-10-22T14:38:01Z
4983291,evolvedlight,55661,4,5825087,2010-09-19T22:58:02Z
4983313,MDCore,1807167,3,48613390,2017-05-12T07:29:41Z
4983321,MDCore,1807167,3,48613390,2017-05-12T07:29:36Z
4983346,Huw Waters,327578,2,8658070,2011-07-07T15:03:11Z
4983348,Jay456,439547,4,20619581,2014-02-17T17:31:34Z
4983349,chriscf,8235,2,522448,2008-10-23T12:34:19Z
